A000022,Ackerman,Gary
A000366,Adams,Sandy
A000055,Aderholt,Robert
A000358,Akin,W.
A000361,Alexander,Rodney
A000362,Altmire,Jason
A000367,Amash,Justin
A000369,Amodei,Mark
A000210,Andrews,Robert
A000365,Austria,Steve
B001234,Baca,Joe
B001256,Bachmann,Michele
B000013,Bachus,Spencer
B001230,Baldwin,Tammy
B001279,Barber,Ron
B001269,Barletta,Lou
B001252,Barrow,John
B000208,Bartlett,Roscoe
B000213,Barton,Joe
B000220,Bass,Charles
B001270,Bass,Karen
B000287,Becerra,Xavier
B001271,Benishek,Dan
B001272,Berg,Rick
B001231,Berkley,Shelley
B000410,Berman,Howard
B001232,Biggert,Judy
B000461,Bilbray,Brian
B001257,Bilirakis,Gus
B001250,Bishop,Rob
B000490,Bishop,Sanford
B001242,Bishop,Timothy
B001273,Black,Diane
B001243,Blackburn,Marsha
B000574,Blumenauer,Earl
B000589,Boehner,John
B001278,Bonamici,Suzanne
B001244,Bonner,Jo
B001245,Bordallo,Madeleine
B001254,Boren,Dan
B000652,Boswell,Leonard
B001255,Boustany,Charles
B000755,Brady,Kevin
B001227,Brady,Robert
B001259,Braley,Bruce
B001274,Brooks,Mo
B001262,Broun,Paul
B000911,Brown,Corrine
B001260,Buchanan,Vern
B001275,Bucshon,Larry
B001248,Burgess,Michael
B001149,Burton,Dan
B001251,Butterfield,George
C000059,Calvert,Ken
C000071,Camp,Dave
C001064,Campbell,John
C001082,Canseco,Francisco
C001046,Cantor,Eric
C001047,Capito,Shelley
C001036,Capps,Lois
C001037,Capuano,Michael
C001050,Cardoza,Dennis
C001060,Carnahan,Russ
C001083,Carney,John
C001051,Carter,John
C001075,Cassidy,Bill
C001066,Castor,Kathy
C000266,Chabot,Steve
C001076,Chaffetz,Jason
C001058,Chandler,Ben
C000380,Christensen,Donna
C001080,Chu,Judy
C001084,Cicilline,David
C001085,Clarke,Hansen
C001067,Clarke,Yvette
C001049,Clay,Wm.
C001061,Cleaver,Emanuel
C000537,Clyburn,James
C000556,Coble,Howard
C001077,Coffman,Mike
C001068,Cohen,Steve
C001053,Cole,Tom
C001062,Conaway,K.
C001078,Connolly,Gerald
C000714,Conyers,John
C000754,Cooper,Jim
C001059,Costa,Jim
C000794,Costello,Jerry
C001069,Courtney,Joe
C001086,Cravaack,Chip
C001087,Crawford,Eric
C001045,Crenshaw,Ander
