Rohrabacher,Dana
Rokita,Todd
Rooney,Tom
Ros-Lehtinen,Ileana
Roskam,Peter
Ross,Dennis
Rothfus,Keith
Roybal-Allard,Lucille
Royce,Ed
Rubio,Marco
Ruiz,Raul
Runyan,Jon
Ruppersberger,Dutch
Rush,Bobby
Ryan,Paul
Ryan,Tim
Salmon,Matt
Sanchez,Linda
Sanchez,Loretta
Sanders,Bernie
Sanford,Mark
Sarbanes,John
Scalise,Steve
Schakowsky,Jan
Schatz,Brian
Schiff,Adam
Schneider,Brad
Schock,Aaron
Schrader,Kurt
Schultz,Debbie
Schumer,Charles
Schwartz,Allyson
Schweikert,David
Scott,Austin
Scott,Bobby
Scott,David
Scott,Tim
Sensenbrenner,F
Serrano,Jose
Sessions,Jeff
Sessions,Pete
Sewell,Terri
Shaheen,Jeanne
Shea-Porter,Carol
Shelby,Richard
Sherman,Brad
Shimkus,John
Shuster,Bill
Simpson,Mike
Sinema,Kyrsten
Sires,Albio
Slaughter,Louise
Smith,Adam
Smith,Adrian
Smith,Chris
Smith,Jason
Smith,Lamar
Southerland,Steve
Speier,Jackie
Stabenow,Debbie
Stewart,Chris
Stivers,Steve
Stockman,Steve
Stutzman,Marlin
Swalwell,Eric
Takano,Mark
Terry,Lee
Tester,Jon
Thompson,Bennie
Thompson,Glenn
Thompson,Mike
Thornberry,Mac
Thune,John
Tiberi,Patrick
Tierney,John
Tipton,Scott
Titus,Dina
Tonko,Paul
Toomey,Pat
Tsongas,Niki
Turner,Michael
Udall,Mark
Udall,Tom
Upton,Fred
Valadao,David
Hollen,Chris
Vargas,Juan
Veasey,Marc
Vela,Filemon
Velazquez,Nydia
Visclosky,Pete
Vitter,David
Wagner,Ann
Walberg,Tim
Walden,Greg
Walorski,Jackie
Walsh,John
Walz,Timothy
Warner,Mark
Warren,Elizabeth
Waters,Maxine
Waxman,Henry
Weber,Randy
Webster,Daniel
Welch,Peter
Wenstrup,Brad
Westmoreland,Lynn
Whitehouse,Sheldon
Whitfield,Ed
Wicker,Roger
Williams,Roger
Wilson,Frederica
Wilson,Joe
Wittman,Rob
Wolf,Frank
Womack,Steve
Woodall,Rob
Wyden,Ron
Yarmuth,John
Yoder,Kevin
Yoho,Ted
Young,Don
Young,Todd
